,hora,temp_inst,umid_inst,pto_orvalho_inst,pressao,vento_rajada,radiacao,precipitacao,diff_temp,diff_umid,diff_dew,diff_pressure,diff_wind,vento_vel
0,0,26.6,79,22.6,1009.9,4.8,-3.51,0.0,0.4000000000000021,2,0.3000000000000007,0.6999999999999318,3.4,104
1,23,26.0,79,22.1,1010.0,4.2,-3.54,0.0,0.9000000000000021,4,0.4000000000000021,0.7999999999999545,3.7,121
2,22,26.7,75,21.8,1009.2,5.5,-3.54,0.0,0.5,3,0.3000000000000007,0.20000000000004547,3.8,94
3,21,27.1,72,21.6,1009.0,6.9,70.21,0.0,1.2000000000000028,6,0.4000000000000021,0.6000000000000227,4.800000000000002,91
4,20,28.1,66,21.2,1008.4,7.4,688.5,0.0,1.1999999999999993,6,1.0,0.5,4.5,103
5,19,29.3,64,21.8,1007.9,8.4,1324.0,0.0,0.9000000000000021,8,1.6000000000000014,0.10000000000002274,5.5,107
6,18,29.9,61,21.5,1007.9,8.4,1757.0,0.0,0.8999999999999986,5,1.2999999999999972,0.3000000000000682,4.9,107
7,17,30.2,62,22.1,1008.2,8.7,1992.0,0.0,1.0,8,1.6999999999999993,0.8999999999999773,4.6,103
8,16,30.3,64,22.7,1009.1,7.7,1911.0,0.0,1.3000000000000007,5,1.8000000000000007,0.6999999999999318,4.4,106
9,15,30.3,60,21.5,1009.8,7.4,1971.0,0.0,1.5,6,1.2000000000000028,0.7000000000000455,4.0,119
10,14,30.6,61,22.3,1010.5,7.8,1386.0,0.0,2.0,8,1.1000000000000014,0.3999999999999773,4.6,109
11,13,29.1,65,21.9,1010.9,7.2,1505.0,0.0,1.3000000000000007,6,1.5,0.20000000000004547,4.4,151
12,12,28.5,70,22.5,1010.8,6.6,1235.0,0.0,1.5,5,1.0,0.1999999999999318,3.9,159
13,11,27.2,75,22.3,1010.7,6.5,1024.0,0.0,2.599999999999998,14,1.0,0.900000000000091,4.3,173
14,10,24.6,86,22.2,1009.7,5.0,84.58,0.0,0.1999999999999993,1,0.3000000000000007,0.7999999999999545,3.0,188
15,9,24.6,87,22.2,1009.0,3.2,6.863,0.0,0.1999999999999993,1,0.1999999999999993,0.5,1.9,191
16,8,24.6,87,22.3,1008.5,3.2,-3.34,0.0,0.6999999999999993,4,0.3000000000000007,0.3999999999999773,2.1,163
17,7,25.2,83,22.2,1008.1,2.1,-3.44,0.0,0.3999999999999986,1,0.3999999999999986,0.20000000000004547,1.5,169
18,6,25.3,83,22.2,1008.0,3.0,-2.82,0.0,0.8999999999999986,5,0.3000000000000007,0.3999999999999773,2.4,170
19,5,26.1,78,22.0,1008.3,4.0,-3.52,0.0,0.5,3,0.3000000000000007,0.5,2.9,126
20,4,26.4,76,21.7,1008.8,4.3,-3.52,0.0,0.3000000000000007,2,0.5,0.7000000000000455,2.5,106
21,3,26.6,77,22.2,1009.5,5.1,-3.41,0.0,0.6000000000000014,1,0.3000000000000007,0.2999999999999545,3.6,108
22,2,26.9,76,22.3,1009.8,4.5,-2.6,0.0,0.6000000000000014,4,0.5,0.20000000000004547,2.7,102
23,1,26.6,79,22.7,1010.0,4.9,-3.13,0.0,0.3000000000000007,1,0.2999999999999972,0.10000000000002274,3.8,111
24,0,24.9,85,22.2,1010.5,1.5,-3.53,0.0,1.2000000000000028,6,0.5,0.3999999999999773,1.3,190
25,1,24.2,88,22.1,1010.6,1.0,-3.36,0.0,0.7999999999999972,3,0.3000000000000007,0.10000000000002274,1.0,161
26,2,24.0,89,22.2,1010.3,1.4,-2.81,0.0,0.3000000000000007,2,0.4000000000000021,0.3000000000000682,1.4,185
27,3,24.3,90,22.6,1009.7,2.1,-2.35,0.0,0.5,2,0.6000000000000014,0.5999999999999089,0.8,181
28,4,24.1,91,22.6,1009.0,2.4,-1.9,0.0,0.3999999999999986,1,0.4000000000000021,0.7000000000000455,1.7,172
29,5,24.1,91,22.6,1008.7,1.7,-1.8,0.0,0.3000000000000007,0,0.20000000000000284,0.2999999999999545,1.2999999999999998,189
30,6,23.8,91,22.3,1008.3,1.6,-2.0,0.0,0.4000000000000021,0,0.3999999999999986,0.40000000000009095,0.9000000000000001,184
31,7,24.0,91,22.4,1008.1,2.1,-1.77,0.0,0.4000000000000021,0,0.5,0.1999999999999318,1.4,164
32,8,24.0,91,22.4,1008.2,2.3,-1.32,0.0,0.1999999999999993,0,0.1999999999999993,0.10000000000002274,0.9999999999999998,173
33,9,24.4,90,22.6,1008.4,2.8,19.16,0.0,0.3999999999999986,1,0.3000000000000007,0.1999999999999318,1.6999999999999995,164
34,10,25.5,87,23.2,1009.1,4.3,246.9,0.0,1.1000000000000014,3,0.5,0.7000000000000455,2.5,177
35,11,27.6,77,23.2,1009.7,5.4,976.7,0.0,2.1000000000000014,10,1.0,0.6000000000000227,3.1000000000000005,164
36,12,28.5,73,23.2,1010.5,7.0,1214.0,0.0,1.6999999999999993,7,0.9000000000000021,0.7999999999999545,3.9,164
37,13,30.0,65,22.6,1010.4,7.9,1676.0,0.0,1.6999999999999993,11,1.6999999999999993,0.20000000000004547,5.2,141
38,14,29.4,60,20.9,1010.0,8.6,2032.0,0.0,1.5,8,2.5,0.3999999999999773,4.5,134
39,15,30.5,58,21.4,1009.2,8.6,2048.0,0.0,1.8000000000000007,6,1.2000000000000028,0.7999999999999545,4.699999999999998,130
40,16,30.9,55,20.8,1008.7,10.1,1692.0,0.0,1.8999999999999984,11,2.6999999999999997,0.6000000000000227,6.199999999999998,118
41,17,30.8,51,19.6,1007.9,10.1,2052.0,0.0,0.8000000000000007,5,2.0,0.8000000000000682,5.5,99
42,18,30.3,54,20.1,1007.9,8.9,1742.0,0.0,0.8000000000000007,6,1.0,0.10000000000002274,5.300000000000002,109
43,19,30.2,58,21.0,1008.2,7.8,1290.0,0.0,0.7000000000000028,5,1.2000000000000028,0.3000000000000682,5.1,101
44,20,28.6,67,21.8,1008.2,6.4,680.9,0.0,1.599999999999998,10,1.1999999999999993,0.10000000000002274,3.5000000000000004,95
45,21,27.4,75,22.7,1008.9,6.2,70.17,0.0,1.2000000000000028,8,0.8999999999999986,0.6999999999999318,4.4,95
46,22,26.9,79,23.0,1009.5,4.0,-3.53,0.0,0.5999999999999979,5,0.5,0.6000000000000227,2.8,101
